Chunk Size,Run Time,PCY
0.01,2.741098403930664,20.705699920654297
0.05,14.350175857543944,104.11214828491211
0.1,30.16495704650879,203.88102531433105
0.2,77.97980308532715,389.63913917541504
0.3,110.88204383850098,673.1569766998291
0.4,153.82719039916992,757.8880786895752
0.5,204.41079139709475,1135.8048915863037
0.6,250.45180320739743,1308.945894241333
0.7,268.34583282470703,1459.7430229187012
0.8,304.8100471496582,1608.0772876739502
0.9,345.3330993652344,1880.2258968353271
1.0,382.83300399780273,2077.3158073425293
