Chunk Size,Run Time,PCY
0.01,3.052949905395508,20.612001419067383
0.05,13.312101364135742,96.01593017578125
0.1,30.399084091186523,177.43515968322754
0.2,70.38211822509766,357.4090003967285
0.3,94.79904174804688,540.916919708252
0.4,121.55508995056152,820.9879398345947
0.5,151.73697471618652,963.9930725097656
0.6,187.92104721069336,1056.0550689697266
0.7,211.15493774414065,1273.838996887207
0.8,267.75193214416504,1548.4659671783447
0.9,314.9440288543701,1699.6560096740723
1.0,319.2887306213379,2040.8520698547363
